title,chapternumber,eyes,comment,heart,kind,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16
Spirit Migration,27,240019,192,1462,Action,Adventure,Drama,Fantasy,Harem,Shounen,Supernatural,,,,,,,,,,
Long Tộc,44,240014,25,603,Action,Fantasy,Manhua,,,,,,,,,,,,,,
Lãng tử,13,240013,41,250,Comedy,Manhwa,Ngôn Tình,Romance,School Life,Shoujo,,,,,,,,,,,
3x3 Eyes,441,239975,16,356,Action,Adult,Adventure,Manga,Romance,,,,,,,,,,,,
Shishunki Renaissance David-kun,24,239962,372,1130,Comedy,Ecchi,Romance,School Life,Shounen,Slice of Life,,,,,,,,,,,
Koi wa Ameagari no You ni,30,239909,83,1780,Comedy,Romance,School Life,Seinen,Slice of Life,,,,,,,,,,,,
17 Tuổi Cách Biệt,2,239874,62,1289,Comedy,Josei,Smut,,,,,,,,,,,,,,
Bánh Răng Thời Gian,28,239847,139,7147,Action,Manhwa,Xuyên Không,,,,,,,,,,,,,,
Plastic Nee-san,160,239662,78,555,Manga,,,,,,,,,,,,,,,,
Đội quân đất nung,26,239647,50,998,Historical,Manhua,Martial Arts,Mystery,,,,,,,,,,,,,
Trăng lên ban ngày,110,239608,27,606,Drama,Historical,Josei,Manhwa,Romance,Supernatural,,,,,,,,,,,
Hôm Nay Trái Đất Đã Nổ Hay Chưa,24,239244,193,5450,Action,Manhua,,,,,,,,,,,,,,,
Hồng Nhan Bất Vong Quốc,17,239236,71,1274,Adventure,Fantasy,Historical,Manhua,Romance,,,,,,,,,,,,
Emerging,22,239154,38,373,Horror,Manga,,,,,,,,,,,,,,,
Tôi Không Phải Nam Phụ - Cực Phẩm Nhân Gian Lý Hi Vệ,11,239003,62,5201,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
New Game!,103,238921,147,2755,Manga,Seinen,Slice of Life,,,,,,,,,,,,,,
Bạn Trai Tui,27,238859,53,2329,Drama,Manhwa,School Life,Shoujo,,,,,,,,,,,,,
Roujoteki Shoujo Hinata-chan,255,238806,90,2878,Comedy,Seinen,Slice of Life,,,,,,,,,,,,,,
Manh Thê Thực Thần,15,238548,168,2137,Historical,Manhua,Romance,Shoujo,Xuyên Không,,,,,,,,,,,,
Bình Hoa Số Một Của Làng Giải Trí,16,238536,286,1147,Comedy,Harem,Manhua,Romance,Shoujo,,,,,,,,,,,,
Fara Otto,34,238382,134,521,Comedy,Seinen,Slice of Life,,,,,,,,,,,,,,
Tôi Nuôi Một Người Hầu Đầy Ám Ảnh,5,238369,178,6213,Historical,Manhwa,Romance,,,,,,,,,,,,,,
Đoạt thiên khuyết,8,238220,528,2839,Cổ Đại,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,
Tân từ điển kì bí,83,238091,7,244,Adventure,Comedy,Fantasy,School Life,Seinen,Shounen,Slice of Life,,,,,,,,,,
Yozakura Quartet,157,237693,54,2155,Action,Comedy,Manga,Mystery,Shounen,Supernatural,,,,,,,,,,,
Kamiki Kyoudai Okotowari,11,237338,229,1757,Comedy,Ngôn Tình,Romance,School Life,Shoujo,,,,,,,,,,,,
Cửu Tiểu Thư,30,237185,78,568,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,,
Hào Môn Hôn Đồ Tựa Cẩm,18,237171,23,2490,Manhua,Ngôn Tình,,,,,,,,,,,,,,,
Hải Hổ 2,48,237158,4,78,Action,Adventure,Manhua,Martial Arts,,,,,,,,,,,,,
Birthright,50,236968,83,1531,Action,Adventure,Comic,Fantasy,,,,,,,,,,,,,
PainKiller,17,236445,116,2304,Drama,Fantasy,Webtoon,,,,,,,,,,,,,,
Truyện đọc lúc 0h,45,236258,34,278,Horror,Manga,Manhua,,,,,,,,,,,,,,
Cao Phán,7,236211,203,1258,Đam Mỹ,Romance,,,,,,,,,,,,,,,
Nhật Kí Đi Săn,7,236191,47,767,16+,Manhua,Ngôn Tình,,,,,,,,,,,,,,
Vô Hạn Khủng Bố,45,235878,52,1075,Action,Adventure,Horror,,,,,,,,,,,,,,
Kare To Kare No Ijiwaru Na Kyori,5,235634,74,598,Comedy,Đam Mỹ,Drama,School Life,,,,,,,,,,,,,
Ngày cầu vồng,33,235446,155,2660,Manga,School Life,Sci-fi,,,,,,,,,,,,,,
Tình yêu và nỗi đau tột cùng,16,235417,96,722,Drama,Mature,Ngôn Tình,Psychological,Romance,Shoujo,Smut,Tragedy,,,,,,,,,
Hametsu no Kanojo,11,235136,645,4942,Drama,Manga,Psychological,Romance,Seinen,,,,,,,,,,,,
Yome no Manimani,12,235134,161,4231,Comedy,Manga,Romance,Slice of Life,Supernatural,,,,,,,,,,,,
Bỉ Chi Tì Sương,7,235044,163,1676,Đam Mỹ,Drama,Manhua,,,,,,,,,,,,,,
Kumika no Mikaku,38,234951,156,1083,Comedy,Romance,Sci-fi,,,,,,,,,,,,,,
"Yêu Vô Điều Kiện (Mata, Kataomou)",19,234776,462,2488,Comedy,Romance,School Life,Shounen,Slice of Life,,,,,,,,,,,,
Koi Wo Hitokuchi,5,234613,97,455,Manga,Yaoi,,,,,,,,,,,,,,,
Tiêu diệt dị nghị trong xã hội loài người,34,234601,199,7208,Action,Adventure,Manga,Mystery,Shounen,Supernatural,,,,,,,,,,,
"Hana ni, Kamitsuku",9,234570,160,1535,Ngôn Tình,Romance,School Life,Shoujo,Supernatural,Tragedy,,,,,,,,,,,
Giải Phóng,10,234472,183,2920,Horror,Manga,Psychological,Tragedy,,,,,,,,,,,,,
Hệ Thống Super God,14,234427,252,13503,Manhua,Martial Arts,Xuyên Không,,,,,,,,,,,,,,
Hệ Thống Bái Kim Siêu Cấp,21,234153,78,3676,Manhua,Mystery,,,,,,,,,,,,,,,
Trẫm Đây Sủng Nam Nhân,5,234084,392,1488,Cổ Đại,Comedy,Đam Mỹ,Manhua,Romance,,,,,,,,,,,,
Suki x Suki,24,234036,71,1546,Comedy,Romance,School Life,Shounen,,,,,,,,,,,,,
Tonari No Furi-san Ga Tonikaku Kowai,20,233945,195,3916,Comedy,Manga,Romance,School Life,Seinen,Slice of Life,,,,,,,,,,,
Người yêu tôi đột nhiên mất hết ký ức,19,233801,121,1222,Comedy,Manga,Slice of Life,Soft Yuri,,,,,,,,,,,,,
Kieta Hatsukoi,28,233729,115,2653,Comedy,Drama,Shoujo,Slice of Life,,,,,,,,,,,,,
Chàng băng giá và nàng lạnh lùng,30,233625,102,4789,Comedy,Romance,Seinen,Slice of Life,,,,,,,,,,,,,
Cách Vách Có Một Đào Yêu,21,233606,131,1400,Cổ Đại,Manhua,Ngôn Tình,Romance,,,,,,,,,,,,,
Chương mở đầu của tiểu thuyết Hàn - Light Novel (TKNT),4,233594,306,3430,Comedy,Ngôn Tình,Romance,,,,,,,,,,,,,,
Vua Quái Vật,23,233431,155,6370,Action,Fantasy,Gender Bender,Historical,Manga,Martial Arts,Mystery,Ngôn Tình,Romance,Shoujo,Supernatural,,,,,,
Joker Trông Trẻ,12,233048,242,5422,Action,Comedy,Drama,Manga,Psychological,,,,,,,,,,,,
Otonari Complex,236,232957,138,1124,Comedy,Gender Bender,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
Suterare Yuusha wa Kitakuchuu,42,232817,244,5003,Action,Adventure,Comedy,Fantasy,Shounen,,,,,,,,,,,,
Thở giữa lưng chừng núi Phú Sĩ,576,232724,133,2666,Comedy,Seinen,Slice of Life,,,,,,,,,,,,,,
Hướng Dẫn Nuôi Một Chú Khủng Long,22,232681,245,2608,Manhua,Ngôn Tình,Romance,,,,,,,,,,,,,,
Em Bé Và Tôi,108,232474,35,315,Comedy,Drama,Shoujo,Slice of Life,,,,,,,,,,,,,
Võ Thần Hải Hổ - Địa Ngục,50,232239,45,167,Action,Adventure,Manhua,Martial Arts,,,,,,,,,,,,,
Chín Chín Tám Mươi Một - 9981,91,232196,47,1309,Comedy,Manhua,Romance,,,,,,,,,,,,,,
Okaeri Alice,17,232194,566,4095,Drama,Gender Bender,Manga,Psychological,Romance,School Life,Shounen,Slice of Life,,,,,,,,,
Bất Tử Y Sinh Tới Từ Tần Triều,20,232058,124,977,Drama,Fantasy,Horror,Manhua,Mystery,Ngôn Tình,Romance,Shoujo,Xuyên Không,,,,,,,,
Ore no Himekutsu o Haite Kure,5,231958,44,944,Ecchi,Josei,Manga,Mature,Seinen,Smut,,,,,,,,,,,
Tiểu đầu bếp cung đình,20,231922,2,134,Action,Adventure,Comedy,Drama,Shounen,,,,,,,,,,,,
Kitaku Tochuu De Yome To Musume Ga Dekitan Dakedo Dragon Datta,7,231882,570,4241,Comedy,Harem,Romance,Supernatural,,,,,,,,,,,,,
Addicted to Curry - Bàn Tay Thần Sầu,74,231812,14,1160,Action,Adult,Manga,Romance,,,,,,,,,,,,,
Goshujin-sama to Kemonomimi no Shoujo Meru,171,231611,377,1429,Comedy,Manga,Romance,Slice of Life,Soft Yuri,,,,,,,,,,,,
Sword Empire,36,231513,85,1704,Action,Adventure,Fantasy,Shounen,,,,,,,,,,,,,
Thủ Lĩnh Thẻ Bài 2: Card Captor Sakura 2,295,231160,131,1576,Action,Fantasy,Shoujo,,,,,,,,,,,,,,
Tây Du Tà Ký - Quỷ Hầu Vương,4,230868,109,1050,Adventure,Ecchi,Fantasy,Horror,Manga,Mature,Mystery,Psychological,Supernatural,Tragedy,,,,,,,
Chuyện tình của Toono và Tamiya,151,230765,65,555,Comedy,Manga,Romance,School Life,Soft Yaoi,,,,,,,,,,,,
Konna Watashi Ni Kitaishinai De,11,230763,188,9323,Comedy,Manga,School Life,Shounen,Slice of Life,,,,,,,,,,,,
Mahou Sekai No Uketsuke Jou Ni Naritaidesu,125,230502,98,5235,Chuyển Sinh,Comedy,Doujinshi,Ecchi,Fantasy,Supernatural,,,,,,,,,,,
Săn Lùng Thượng Đẳng,10,230299,261,4097,Comedy,Manhua,,,,,,,,,,,,,,,
Kimi Shi ni Tamou Koto Nakare,21,229880,164,5249,Action,Sci-fi,Seinen,Shounen,Supernatural,,,,,,,,,,,,
"Đúng lúc ấy, trận chiến bắt đầu",18,229780,490,5740,Comedy,Drama,Harem,Manga,Psychological,Romance,School Life,Shounen,Slice of Life,,,,,,,,
Điều sai trái,9,229672,107,1690,Manga,Romance,School Life,Shoujo,,,,,,,,,,,,,
Worlds Connection,14,229521,396,2064,Action,Doujinshi,Fantasy,Manga,,,,,,,,,,,,,
Somali to Mori no Kamisama,33,229407,91,2241,Action,Adventure,Fantasy,Seinen,Slice of Life,,,,,,,,,,,,
Cửu Vực Chi Thiên Nhãn Quật Khởi,21,229255,106,6721,Action,Manhua,Mystery,,,,,,,,,,,,,,
Phù thủy tóc vàng,9,229254,129,4490,Chuyển Sinh,Fantasy,Romance,Webtoon,,,,,,,,,,,,,
Nữ thánh Ceclilia và mục-sư Lawrence,24,229217,254,7858,Comedy,Fantasy,Romance,Shounen,Slice of Life,,,,,,,,,,,,
Nam Yên Trai Bút Lục,23,229119,78,1223,Action,Adventure,Manhua,,,,,,,,,,,,,,
Vạn Vật Hợp Nhất,15,229084,83,9041,Action,Manhua,Martial Arts,,,,,,,,,,,,,,
Hoshi to Kuzu,16,229083,165,2113,Ngôn Tình,Romance,School Life,Shoujo,,,,,,,,,,,,,
The Horizon,20,229034,330,2966,Drama,Mature,Psychological,Romance,Tragedy,,,,,,,,,,,,
Tân Teppi,67,229026,2,143,Action,Adventure,Comedy,Shounen,Sports,,,,,,,,,,,,
Bất Bại Chiến Thần,20,228988,96,1973,Action,Adventure,Manhua,Mystery,,,,,,,,,,,,,
Sau Khi Thân Phận Đại Lão Bị Bại Lộ,9,228858,122,10548,Fantasy,Manhua,Xuyên Không,,,,,,,,,,,,,,
Hetakoi,59,228853,34,616,Adult,Comedy,Drama,Ecchi,Romance,School Life,Shounen,,,,,,,,,,
Ngũ Quyển Thần Thú Lục Chi Vong Ưu Truyện,23,228745,240,2601,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,,
Yume Miru Taiyou,475,228708,66,836,Adult,Manga,Romance,School Life,,,,,,,,,,,,,
Tensei Oujo to Tensai Reijou no Mahou Kakumei,8,228492,205,8340,Action,Adventure,Comedy,Drama,Manga,Romance,Seinen,Shoujo Ai,Soft Yuri,,,,,,,,
Hoàng Hậu Canh Gà,6,227492,472,2673,Comedy,Manhua,Romance,Shoujo,Xuyên Không,,,,,,,,,,,,
Đêm Nay Ác Nữ Giáng Lâm,13,227476,138,9515,Chuyển Sinh,Manhua,Ngôn Tình,,,,,,,,,,,,,,
Hung Thần Biển Cả Tại Dị Giới,10,227381,911,8906,Comedy,Fantasy,Horror,Manga,Shounen,Supernatural,,,,,,,,,,,
Tấm Cám Truyện Chưa Kể,10,227276,267,950,Comic,Doujinshi,Fantasy,Harem,Historical,Horror,Ngôn Tình,Psychological,,,,,,,,,
Vị Hôn Thê Của Hoàng Đế,9,227109,130,1984,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
"Koyoi, Kimi to Kiss no Chigiri wo",15,226826,112,1015,Ngôn Tình,Romance,Shoujo,Supernatural,,,,,,,,,,,,,
"16-sai, Shinkon Hajimemashita",2,226659,103,1333,Comedy,Ngôn Tình,Romance,School Life,Shoujo,,,,,,,,,,,,
Spirit Circle - Hồn Hoàn,455,226628,79,1147,Action,Adventure,Fantasy,Manga,Mystery,School Life,Shounen,Supernatural,,,,,,,,,
Một thợ săn nhanh nhẹn ở Hokkaido bị ném vào một thế giới khác,4,226481,195,10055,Adventure,Ecchi,Fantasy,Manga,Shounen,,,,,,,,,,,,
Nụ Hôn Cuối,77,226475,23,205,Comedy,Manhwa,Romance,School Life,Shoujo,,,,,,,,,,,,
Uchi ni Neko ga Yattekita!,75,226445,193,7483,Manga,Slice of Life,,,,,,,,,,,,,,,
Kimetsu No Aima!,10,226290,88,792,Action,Adventure,Comedy,Drama,Historical,Martial Arts,Shounen,Supernatural,,,,,,,,,
Hầu Gia Nhà Ta Không Sủng Ta,13,226082,25,3622,Cổ Đại,Manhua,Ngôn Tình,Romance,,,,,,,,,,,,,
Huyết Tộc Đại Nhân Của Ta,19,226055,60,1112,Drama,Ecchi,Manhua,Romance,,,,,,,,,,,,,
Monster Musume no Oisha-san,8,225936,106,3373,Comedy,Ecchi,Romance,Seinen,Slice of Life,Supernatural,,,,,,,,,,,
Kuchibiru ni Kimi no Iro,7,225882,212,1355,Ngôn Tình,Romance,School Life,Shoujo,,,,,,,,,,,,,
Thiên Thần Sa Ngã,19,225853,288,2609,Action,Fantasy,Manhua,Romance,Xuyên Không,,,,,,,,,,,,
Thiên Niên Minh Vương Cộng Chẩm Miên,20,225835,309,1364,Manhua,Ngôn Tình,Romance,Xuyên Không,,,,,,,,,,,,,
World Embryo,97,225818,58,823,Action,Horror,Manga,Martial Arts,Sci-fi,,,,,,,,,,,,
My Balls,41,225783,53,779,Action,Comedy,Fantasy,Harem,Mature,Romance,School Life,Slice of Life,Supernatural,,,,,,,,
Sleepy Barmaid,21,225756,140,4211,Comedy,Drama,Manga,Seinen,Slice of Life,,,,,,,,,,,,
Mùi mồ hôi và Hương xà phòng,20,225684,187,6483,Comedy,Manga,Romance,Seinen,Slice of Life,,,,,,,,,,,,
Arifureta học viện ma thuật đỉnh nhất thế giới,7,225499,425,4989,Action,Comedy,Fantasy,Manga,Romance,School Life,,,,,,,,,,,
Red Living On The Edge - Người Da Đỏ Lang Thang,151,225318,18,851,Action,Adventure,Drama,Historical,Manga,,,,,,,,,,,,
Blame!,65,225208,37,886,Adult,Adventure,Horror,Manga,,,,,,,,,,,,,
Y Phi Khuynh Thành - Vương Phi Muốn Hưu Phu,10,225154,560,2165,Cổ Đại,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,Xuyên Không,,,,,,,,,,
Yasashi Sekai,10,225009,78,1319,Comedy,Manga,Mecha,,,,,,,,,,,,,,
Huấn Luyện Viên Của Nữ Thần,26,224863,33,1803,Action,Manhua,,,,,,,,,,,,,,,
Điệp Ảnh Trùng Trùng,14,224719,269,2196,Cổ Đại,Comedy,Manhua,Ngôn Tình,Romance,,,,,,,,,,,,
Mosspaca Advertising Department,87,224608,32,1171,Comedy,Slice of Life,Thiếu Nhi,,,,,,,,,,,,,,
"Urami Koi, Koi, Urami Koi",37,224521,193,2828,Shounen,Supernatural,,,,,,,,,,,,,,,
Dorei Shounin shika Sentakushi ga Nai desu yo? Harem? Nani Sore Oishii no?,8,224516,301,5498,Adventure,Comedy,Drama,Ecchi,Harem,Seinen,Supernatural,,,,,,,,,,
Vợ Quỷ Trốn Thoát,14,224484,191,1227,Comedy,Manhua,Ngôn Tình,Romance,,,,,,,,,,,,,
I Became a Villain Daughter,7,224259,116,3710,Chuyển Sinh,Comedy,Drama,Fantasy,Historical,Manga,Romance,School Life,Shoujo,Slice of Life,,,,,,,
Đừng Triệu Hoán Ta Nữa,10,224213,250,8286,Action,Manhua,,,,,,,,,,,,,,,
Ichinensei ni Nacchattara,60,224160,178,642,Gender Bender,,,,,,,,,,,,,,,,
Đại Thánh Và Tiểu Yêu,73,223870,88,480,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
Marmalade Boy,40,223864,38,618,Manga,Romance,School Life,,,,,,,,,,,,,,
Hội pháp sư nổi tiếng - Oneshot,5,223829,161,877,Anime,Doujinshi,Drama,One shot,Shounen,,,,,,,,,,,,
Người chơi trùng sinh,10,223745,155,3073,Action,Adventure,Comedy,Drama,Fantasy,Manhua,,,,,,,,,,,
Joshi Kausei,68,223698,136,3594,Comedy,Seinen,Slice of Life,,,,,,,,,,,,,,
Kami-sama x Ore-sama x Danna-sama!,24,223694,148,1082,Comedy,Ngôn Tình,Romance,Shoujo,Supernatural,,,,,,,,,,,,
Hentai Ouji to Warawanai Neko,345,223691,110,3072,Comedy,Drama,Romance,School Life,,,,,,,,,,,,,
Wistoria Bản Hùng Ca Kiếm Và Pháp Trượng,13,223631,322,10393,Action,Adventure,Comedy,Drama,Fantasy,Manga,Martial Arts,School Life,Shoujo,Slice of Life,Supernatural,,,,,,
"Dad, the Beard Gorilla and I",87,223567,166,870,Comedy,Romance,Slice of Life,,,,,,,,,,,,,,
ACUP Tiên Sinh,60,223456,63,4827,Drama,Manhua,,,,,,,,,,,,,,,
Mộng văn sơn hải kinh,22,223444,202,1572,Manhua,Ngôn Tình,Romance,,,,,,,,,,,,,,
Aneue Sukaato o Makutte Mata o Aite Misete Kuremasen ka,5,223334,75,5713,Harem,Romance,Shoujo,Smut,,,,,,,,,,,,,
Yoru Made Matenai,332,223259,147,687,Comedy,Romance,,,,,,,,,,,,,,,
Resident Evil Biohazard Heavenly Island,50,223231,21,388,Action,Comedy,Horror,,,,,,,,,,,,,,
Seiyuu-San To Do S Na P-Sama,35,223201,180,1524,Comedy,Romance,School Life,Shoujo,,,,,,,,,,,,,
Ori of the Dragon Chain -,71,223095,998,15422,Action,Drama,Fantasy,Manga,Romance,School Life,Seinen,Shounen,,,,,,,,,
"Mang Quải Hệ Thống, Nhất Trí Mạng",11,222735,491,2540,Cổ Đại,Đam Mỹ,Manhua,,,,,,,,,,,,,,
Biệt Khúc Cuối Cùng,21,222346,54,4347,Action,Manga,Mystery,Psychological,Seinen,Supernatural,,,,,,,,,,,
Yari no Yuusha no Yarinaosh,5,222194,262,1535,Action,Adventure,Comedy,Fantasy,Romance,,,,,,,,,,,,
The Iceblade Magician Rules Over the World,9,222153,130,7225,Action,Adventure,Fantasy,Manga,Romance,School Life,Shounen,,,,,,,,,,
Nyotaika Plus Kanojo,6,222118,193,1336,Ecchi,Gender Bender,Manga,Romance,,,,,,,,,,,,,
Dioti Manual ~ Kamisamatachi No Ren'ai Daikou,22,222074,336,5451,Comedy,Romance,School Life,Shounen,Slice of Life,,,,,,,,,,,,
Hongshi thích tôi!,40,221808,283,1349,Comedy,Romance,School Life,Shoujo,Slice of Life,Webtoon,,,,,,,,,,,
Tra Nam Cút Ra,17,221779,521,2116,Manhua,Romance,,,,,,,,,,,,,,,
#shin5 - Kekkonshite mo Koishiteru,20,221699,181,4265,Comedy,Romance,Slice of Life,,,,,,,,,,,,,,
Hatarakanai Futari,44,221663,102,910,Comedy,Slice of Life,,,,,,,,,,,,,,,
Crayon Days - Daikirai na Aitsu,275,221619,49,738,Comedy,Ngôn Tình,Romance,School Life,Shoujo,,,,,,,,,,,,
Trash-Tier Tomozaki-kun,9,221234,172,3677,Comedy,Drama,Romance,School Life,,,,,,,,,,,,,
Pochi Kuro,38,221168,68,1309,Action,Romance,Shounen,Supernatural,,,,,,,,,,,,,
Dog Girl,4,221163,29,733,Adult,Ecchi,Manhwa,,,,,,,,,,,,,,
Đông Phương Chân Long,66,220857,2,115,Action,Manhua,Martial Arts,,,,,,,,,,,,,,
Nữ Vương Lăng Xê,18,220075,378,793,Drama,Harem,Manhua,Romance,Shoujo,,,,,,,,,,,,
Đấng Cứu Thế Được Chọn Lựa,17,220025,264,9045,Action,Manhwa,,,,,,,,,,,,,,,
Ojisan to Miiko,14,219866,324,1219,Drama,Romance,Slice of Life,,,,,,,,,,,,,,
Orange,22,219780,102,969,Adult,Comedy,Manga,Romance,Sci-fi,Trinh Thám,,,,,,,,,,,
Vợ Tui Là Ma,6,219568,326,2630,Comedy,Manga,Romance,Slice of Life,Supernatural,,,,,,,,,,,,
Xứng danh anh hùng,83,219451,50,489,Drama,Ngôn Tình,Romance,School Life,Shoujo,Sports,,,,,,,,,,,
Công lý và bóng tối,79,219245,19,469,Action,Comic,Fantasy,Horror,Trinh Thám,,,,,,,,,,,,
Siêu bựa nữ nhân,25,219132,211,1345,Action,Comedy,Fantasy,School Life,Shounen,,,,,,,,,,,,
Ore wa Teppei,137,219120,10,199,Comedy,Shounen,Sports,,,,,,,,,,,,,,
Đồng Tâm Kết,6,218987,105,2098,Cổ Đại,Comic,Drama,Historical,Manhua,Ngôn Tình,Romance,Smut,,,,,,,,,
Valkyrie Romanze,16,218761,29,996,16+,Action,Drama,Ecchi,Romance,School Life,Seinen,Sports,,,,,,,,,
Super Cub,32,218723,203,2277,Mecha,Slice of Life,,,,,,,,,,,,,,,
Nàng Lọ Lem Giả Mạo,8,218628,178,6155,Comedy,Comic,Doujinshi,Drama,Historical,Manga,Mystery,Romance,Shoujo,,,,,,,,
Kitsune Spirit,22,218567,179,1699,Comedy,Romance,Slice of Life,Supernatural,,,,,,,,,,,,,
Khốn Long Đại Lục,36,218371,35,1384,Manhua,Mystery,,,,,,,,,,,,,,,
Kang Gito,27,218308,69,1738,Action,Manhwa,Mature,Webtoon,,,,,,,,,,,,,
Taberu dake de level up,6,218260,506,5505,Action,Comedy,Ecchi,Fantasy,Harem,Romance,Slice of Life,,,,,,,,,,
Dragon girl - Ikkitousen,115,218057,35,780,Anime,Drama,Manga,Martial Arts,School Life,Seinen,,,,,,,,,,,
Shindou Yuusha to Maid Onee-san,5,217826,331,7197,Adventure,Comedy,Ecchi,Fantasy,Harem,Romance,Seinen,,,,,,,,,,
Kiss/Hug,14,217697,87,942,Manga,Romance,School Life,,,,,,,,,,,,,,
Trả Tên Lại Cho Yêu Quái,87,217665,72,939,Comedy,Drama,Shoujo,Slice of Life,Supernatural,,,,,,,,,,,,
Regina Lena - Gửi Người Không Được Tha Thứ,11,217559,161,10796,Action,Fantasy,Manhwa,Romance,,,,,,,,,,,,,
Phá Vân,8,217359,111,2484,Đam Mỹ,Drama,Manhua,Trinh Thám,,,,,,,,,,,,,
Tomodachi ga sukato wa kita itte itte kita,9,216682,419,4491,Comedy,Manga,Slice of Life,,,,,,,,,,,,,,
My Shining World,68,216626,76,486,Comedy,Drama,Manhwa,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,
Tales Of Destruction,20,216464,414,4534,Action,Manga,Martial Arts,Supernatural,,,,,,,,,,,,,
Tù Nhân Tình Yêu 99 Ngày,19,216408,137,1038,Comedy,Manhua,Ngôn Tình,Romance,,,,,,,,,,,,,
Tân Nương Xinh Đẹp Của Tổng Tài,4,216351,411,2944,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
Paradise Kiss,48,216235,50,569,Comedy,Drama,Josei,Mature,Romance,School Life,Tragedy,,,,,,,,,,
Quy Luật Năm Bản Mệnh Của Hồ Ly,18,215947,80,3200,Action,Chuyển Sinh,Fantasy,Manhua,,,,,,,,,,,,,
Hiệp Sĩ Giấy A,242,215947,47,605,Action,Adventure,Fantasy,Manhua,Martial Arts,Supernatural,,,,,,,,,,,
Nhặt Thuộc Tính Tại Trái Đất,20,215883,455,9868,Action,Fantasy,Manhua,,,,,,,,,,,,,,
Lớp học biến chất,34,215798,341,557,Comedy,School Life,Shoujo Ai,Shounen,,,,,,,,,,,,,
Nàng Phù Thủy Của Tôi,12,215691,250,5343,Drama,Fantasy,Manhwa,Romance,Tragedy,Webtoon,,,,,,,,,,,
The Walking Dead,111,215684,32,1335,Action,Adult,Adventure,Comic,Horror,,,,,,,,,,,,
Yokujou (c) Max (Desire Climax),22,215651,33,483,Drama,Mature,Ngôn Tình,Romance,Shoujo,Smut,,,,,,,,,,,
Ôn Thuỵ An Quần Hiệp Truyện 2012,43,215594,5,220,Action,Adventure,Manhua,Martial Arts,,,,,,,,,,,,,
Hình như những đứa trẻ rắc rối đó đến từ thế giới khác thì phải? Z,15,215510,110,1705,Action,Anime,Comedy,Fantasy,Shounen,,,,,,,,,,,,
Cậu Bé 3 Mắt,28,215355,13,233,Action,Adventure,Comedy,Shounen Ai,Supernatural,,,,,,,,,,,,
Kết hôn với người mà tôi ghét nhất,6,215284,645,15149,Comedy,Manga,Romance,School Life,Slice of Life,,,,,,,,,,,,
Hajime là số một,49,215281,22,251,Comedy,Drama,Romance,Shoujo,,,,,,,,,,,,,
Ảnh Đế Lão Công Ngoan Ngoan Ái,6,215158,474,1889,Comedy,Manhua,Romance,,,,,,,,,,,,,,
A Wife Who Heals with Tights,55,215086,192,2630,Comedy,Ecchi,Romance,Slice of Life,,,,,,,,,,,,,
Truyện ngắn Doraemon mới nhất,11,215042,130,1783,Fantasy,Manga,Sci-fi,,,,,,,,,,,,,,
Bí Mật Của Dạ Tộc,46,214969,247,1191,Action,Cổ Đại,Comedy,Manhua,Romance,,,,,,,,,,,,
Seito Kaichou Desu Ga Josou Hajimemashita,12,214944,159,2364,Comedy,Gender Bender,Romance,School Life,,,,,,,,,,,,,
Love Riron,43,214896,51,988,Comedy,Ecchi,Romance,School Life,Supernatural,,,,,,,,,,,,
Ore-tachi No Party Wa Machigatteiru,16,214864,206,2090,Action,Comedy,Fantasy,Gender Bender,,,,,,,,,,,,,
"Sắc đỏ, Lồng đèn và Yêu ma",44,214759,191,4203,Comedy,Fantasy,Psychological,Shoujo,Slice of Life,Supernatural,,,,,,,,,,,
Oshioki X-Cute,10,214611,114,2709,Ecchi,Fantasy,Romance,School Life,Smut,,,,,,,,,,,,
Koi Ni Naranai Wake Ga Nai,14,214596,178,1476,Drama,Ngôn Tình,Romance,School Life,Shoujo,,,,,,,,,,,,
Xuyên Vào Tiểu Thuyết - Nữ Phụ Muốn Sống!,11,214462,105,2169,Manhua,Romance,Xuyên Không,,,,,,,,,,,,,,
Tôi lỡ trở thành Mama của Quỷ Vương mất rồi!,11,214416,178,2416,Comedy,Ecchi,Fantasy,Shounen,,,,,,,,,,,,,
Quần Đảo Ký Sinh,11,214347,144,1497,Horror,Manga,Tragedy,Trinh Thám,,,,,,,,,,,,,
Ma Vương - Liễu Kỹ Vân,50,214310,17,322,Action,Manhua,,,,,,,,,,,,,,,
"God's left hand, Devil's right hand",77,214283,28,166,Horror,Manga,Sci-fi,,,,,,,,,,,,,,
