title,chapternumber,eyes,comment,heart,kind,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16
19 Days,2021,57896654,2719,79684,Comedy,Manhua,School Life,Shounen Ai,Soft Yaoi,,,,,,,,,,,,
Phượng Nghịch Thiên Hạ,447,57766719,40477,91466,Fantasy,Manhua,Mystery,Xuyên Không,,,,,,,,,,,,,
Từ Hôm Nay Bắt Đầu Làm Thành Chủ,389,56952800,8310,98001,Comedy,Manhua,,,,,,,,,,,,,,,
Đảo Hải Tặc,1042,56449535,23399,112711,Action,Adventure,Comedy,Drama,Fantasy,Manga,Shounen,,,,,,,,,,
Độc Bộ Tiêu Dao,364,56223743,7415,121496,Action,Fantasy,Manhua,Martial Arts,Mystery,,,,,,,,,,,,
Kingdom - Vương Giả Thiên Hạ,710,56164882,7321,34883,Action,Adventure,Drama,Historical,Seinen,,,,,,,,,,,,
Mairimashita! Iruma-kun,241,56104728,18033,163897,Comedy,Drama,Fantasy,Manga,Mystery,School Life,Shounen,Supernatural,,,,,,,,,
Trùng Sinh Đô Thị Thiên Tôn,293,56053779,4819,137125,Manhua,,,,,,,,,,,,,,,,
Ta Là Đại Thần Tiên,476,54935918,9007,81007,Action,Cổ Đại,Fantasy,Harem,Manhua,Martial Arts,Supernatural,Xuyên Không,,,,,,,,,
Thiểm Hôn Kiều Thê,313,54409646,23752,78519,Comedy,Manhua,Romance,Shoujo,,,,,,,,,,,,,
Huyết Ma Nhân,803,54289865,7956,54478,Action,Adventure,Manhua,Supernatural,,,,,,,,,,,,,
Song Tu Đạo Lữ Của Tôi,687,54075831,15617,76365,Comedy,Manhua,Martial Arts,Romance,,,,,,,,,,,,,
Dạy Bảo Ma Vương Lão Công,248,53946659,51590,47584,Comedy,Drama,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,
Điện thoại của ta thông tam giới,464,53719166,6783,89058,Comedy,Fantasy,Manhua,Mystery,,,,,,,,,,,,,
Manh Sư Tại Thượng,346,53294446,31944,153059,Manhua,Ngôn Tình,,,,,,,,,,,,,,,
Bá Tình Ác Thiếu: Dạy Bảo Tiểu Đào Thê,274,53078776,28296,37184,Comedy,Drama,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,
Kiếm Nghịch Thương Khung,408,52891141,4093,94224,Action,Adventure,Manhua,Mystery,Shounen,,,,,,,,,,,,
Đô Thị Kiêu Hùng Hệ Thống,360,52612317,5445,55125,Manhua,Martial Arts,Mystery,Supernatural,Xuyên Không,,,,,,,,,,,,
